dataset,model,step,tokens_seen,train_loss,validation_loss,test_loss,train_objective,seconds,params,active_params
tiny_shakespeare,native-nanochat,10,5120,5.2564568519592285,5.257591247558594,5.261177062988281,5.304838180541992,1.2370102405548096,475136,475136
tiny_shakespeare,native-nanochat,20,10240,4.6732330322265625,4.678832530975342,4.686310768127441,4.767725944519043,1.5565071105957031,475136,475136
tiny_shakespeare,native-nanochat,30,15360,4.217308521270752,4.2277045249938965,4.2393388748168945,4.274641990661621,1.8729972839355469,475136,475136
tiny_shakespeare,native-nanochat,40,20480,3.8831915855407715,3.898063898086548,3.914001226425171,3.864889144897461,2.195848226547241,475136,475136
tiny_shakespeare,native-nanochat,50,25600,3.6561279296875,3.6761820316314697,3.695831060409546,3.7596330642700195,2.5232419967651367,475136,475136
tiny_shakespeare,native-nanochat,60,30720,3.5135254859924316,3.5369527339935303,3.5589725971221924,3.5027308464050293,2.8486571311950684,475136,475136
tiny_shakespeare,native-nanochat,70,35840,3.426755428314209,3.453821897506714,3.4780187606811523,3.4632158279418945,3.169938325881958,475136,475136
tiny_shakespeare,native-nanochat,80,40960,3.3750061988830566,3.403675079345703,3.430537700653076,3.333289861679077,3.4928791522979736,475136,475136
tiny_shakespeare,native-nanochat,90,46080,3.3213298320770264,3.347367525100708,3.3741323947906494,3.171452045440674,3.8152220249176025,475136,475136
tiny_shakespeare,native-nanochat,100,51200,3.263458013534546,3.283651113510132,3.3095345497131348,3.3615622520446777,4.140038251876831,475136,475136
tiny_shakespeare,nanochat-deepseekv4,10,5120,5.328189849853516,5.330428123474121,5.332580089569092,5.910943984985352,11.984840869903564,778160,507824
tiny_shakespeare,nanochat-deepseekv4,20,10240,4.886223793029785,4.893884658813477,4.899975299835205,5.487009525299072,18.51811385154724,778160,507824
tiny_shakespeare,nanochat-deepseekv4,30,15360,4.370578765869141,4.381596088409424,4.3927717208862305,4.8952131271362305,24.991896867752075,778160,507824
tiny_shakespeare,nanochat-deepseekv4,40,20480,3.955549716949463,3.9694700241088867,3.9847769737243652,4.355477809906006,31.460124731063843,778160,507824
tiny_shakespeare,nanochat-deepseekv4,50,25600,3.6743509769439697,3.6924147605895996,3.711277723312378,4.164207458496094,38.12847685813904,778160,507824
tiny_shakespeare,nanochat-deepseekv4,60,30720,3.4861936569213867,3.5076406002044678,3.5280113220214844,3.8504884243011475,44.11214470863342,778160,507824
tiny_shakespeare,nanochat-deepseekv4,70,35840,3.3578128814697266,3.382786750793457,3.4034717082977295,3.7543082237243652,50.444355964660645,778160,507824
tiny_shakespeare,nanochat-deepseekv4,80,40960,3.2580957412719727,3.283000946044922,3.303703546524048,3.571465492248535,56.9584219455719,778160,507824
tiny_shakespeare,nanochat-deepseekv4,90,46080,3.17006778717041,3.1935079097747803,3.2129416465759277,3.3707945346832275,63.370030641555786,778160,507824
tiny_shakespeare,nanochat-deepseekv4,100,51200,3.091179847717285,3.1104063987731934,3.128594160079956,3.527194023132324,69.39255595207214,778160,507824
wikitext2,native-nanochat,10,5120,5.245233535766602,5.24550724029541,5.245704650878906,5.289312362670898,1.3570168018341064,475136,475136
wikitext2,native-nanochat,20,10240,4.655905246734619,4.65682315826416,4.656481742858887,4.734264373779297,2.527472734451294,475136,475136
wikitext2,native-nanochat,30,15360,4.183685779571533,4.185739040374756,4.184326171875,4.244409561157227,3.713994026184082,475136,475136
wikitext2,native-nanochat,40,20480,3.8249623775482178,3.828141450881958,3.8255488872528076,3.867673873901367,4.902168035507202,475136,475136
wikitext2,native-nanochat,50,25600,3.5711872577667236,3.5750012397766113,3.571545362472534,3.5495166778564453,6.078017950057983,475136,475136
wikitext2,native-nanochat,60,30720,3.4083023071289062,3.4124534130096436,3.408559560775757,3.336545467376709,7.265962839126587,475136,475136
wikitext2,native-nanochat,70,35840,3.3076977729797363,3.31177020072937,3.307408571243286,3.2322633266448975,8.451648950576782,475136,475136
wikitext2,native-nanochat,80,40960,3.240483522415161,3.2449138164520264,3.240020513534546,3.305985927581787,9.637369871139526,475136,475136
wikitext2,native-nanochat,90,46080,3.1675074100494385,3.171048164367676,3.1671767234802246,3.216275215148926,10.822252035140991,475136,475136
wikitext2,native-nanochat,100,51200,3.1207921504974365,3.1243247985839844,3.120694875717163,3.0775351524353027,12.004760026931763,475136,475136
wikitext2,nanochat-deepseekv4,10,5120,5.323322772979736,5.32358455657959,5.323870658874512,5.892807960510254,38.27046799659729,778160,507824
wikitext2,nanochat-deepseekv4,20,10240,4.872282981872559,4.873074531555176,4.873054027557373,5.452033519744873,64.42227387428284,778160,507824
wikitext2,nanochat-deepseekv4,30,15360,4.352104187011719,4.353795528411865,4.353020668029785,4.879349708557129,96.70638012886047,778160,507824
wikitext2,nanochat-deepseekv4,40,20480,3.91939640045166,3.9220848083496094,3.9203507900238037,4.373884677886963,127.78202700614929,778160,507824
wikitext2,nanochat-deepseekv4,50,25600,3.6159517765045166,3.619370698928833,3.616882562637329,3.968815326690674,157.64639496803284,778160,507824
wikitext2,nanochat-deepseekv4,60,30720,3.4166886806488037,3.4204893112182617,3.4177703857421875,3.7045719623565674,181.06792497634888,778160,507824
wikitext2,nanochat-deepseekv4,70,35840,3.2766902446746826,3.2799670696258545,3.2775309085845947,3.5528252124786377,207.78684902191162,778160,507824
wikitext2,nanochat-deepseekv4,80,40960,3.172311544418335,3.175933599472046,3.173398017883301,3.5854129791259766,230.5181589126587,778160,507824
wikitext2,nanochat-deepseekv4,90,46080,3.088799238204956,3.09202241897583,3.090191125869751,3.4636030197143555,251.5390169620514,778160,507824
wikitext2,nanochat-deepseekv4,100,51200,3.0174670219421387,3.0210721492767334,3.01953125,3.281096935272217,272.0493230819702,778160,507824
